	Data_Source	Review_Date	Sentiment	Geography	Product	Review	Keywords	Aspect	Product_Family	Title	Sentiment_Score	Review_Count
315	BestBuy	2/18/2024 0:00	Negative	US	Windows 11 (Preinstall)	upgrade and could not be happy with price and quality.	price	Price	Microsoft Surface Pro 9 13		-1	1.0
316	BestBuy	2/18/2024 0:00	Negative	US	Windows 11 (Preinstall)	upgrade and could not be happy with price and quality.	upgrade	Hardware	Microsoft Surface Pro 9 13		-1	1.0
317	BestBuy	3/1/2024 0:00	Negative	US	Windows 11 (Preinstall)	I be initially skeptical with this purchase.	purchase	Price	Microsoft Surface Pro 9 13		-1	1.0
318	BestBuy	3/19/2024 0:00	Negative	US	Windows 11 (Preinstall)	do not bother buy the extended warranty from Best Buy as they do not stand by warranty.	buy	Price	Microsoft Surface Pro 7 Plus 12		-1	1.0
319	BestBuy	3/2/2024 0:00	Neutral	US	Windows 11 (Preinstall)	Quick delivery.	quick	Performance	Microsoft Surface Pro 9 13		0	1.0
320	BestBuy	3/15/2024 0:00	Neutral	US	Windows 11 (Preinstall)	heat up very fast.	heat	Performance	Microsoft Surface Pro 9 13		0	1.0
321	BestBuy	2/19/2024 0:00	Neutral	US	Windows 11 (Preinstall)	the process for the lease to own be quick.	quick	Performance	Microsoft Surface Pro 7 Plus 12		0	1.0
322	BestBuy	2/26/2024 0:00	Neutral	US	Windows 11 (Preinstall)	buy brand new fresh out the box and simply boot up paint after instal merely 2 adobe application and the paint application would process the simplist action at a choppylagge speed.	choppylagge	Gaming	Microsoft Surface Pro 9 13		0	1.0
323	BestBuy	2/26/2024 0:00	Neutral	US	Windows 11 (Preinstall)	buy brand new fresh out the box and simply boot up paint after instal merely 2 adobe application and the paint application would process the simplist action at a choppylagge speed.	speed	Performance	Microsoft Surface Pro 9 13		0	1.0
324	BestBuy	2/26/2024 0:00	Neutral	US	Windows 11 (Preinstall)	buy brand new fresh out the box and simply boot up paint after instal merely 2 adobe application and the paint application would process the simplist action at a choppylagge speed.	paint	Software	Microsoft Surface Pro 9 13		0	1.0
325	BestBuy	2/26/2024 0:00	Neutral	US	Windows 11 (Preinstall)	buy brand new fresh out the box and simply boot up paint after instal merely 2 adobe application and the paint application would process the simplist action at a choppylagge speed.	buy	Price	Microsoft Surface Pro 9 13		0	1.0
326	BestBuy	2/17/2024 0:00	Neutral	US	Windows 11 (Preinstall)	setup be simple.	setup	Software	Microsoft Surface Pro 9 13		0	1.0
327	BestBuy	3/20/2024 0:00	Negative	US	Windows 11 (Preinstall)	customer service be not that helpful and slow service.	slow	Performance	Microsoft Surface Pro 9 13		-1	1.0
328	BestBuy	3/20/2024 0:00	Negative	US	Windows 11 (Preinstall)	customer service be not that helpful and slow service.	customer	Customer-Service	Microsoft Surface Pro 9 13		-1	1.0
329	BestBuy	3/15/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""its not as user friendly, as I think some app need additional adjusting to work properly."""	app	Software	Microsoft Surface Pro 9 13		-1	1.0
330	BestBuy	3/15/2024 0:00	Negative	US	Windows 11 (Preinstall)	"""its not as user friendly, as I think some app need additional adjusting to work properly."""	user	Account	Microsoft Surface Pro 9 13		-1	1.0
331	Amazon	3/30/2024 0:00	Negative	US	Windows 10	"""the product I receive be use and have excessive LCD light bleed, despite not have physical damage on the glass."""	light	Design	Microsoft Surface Pro 7 12		-1	1.0
332	Amazon	3/30/2024 0:00	Negative	US	Windows 10	"""the product I receive be use and have excessive LCD light bleed, despite not have physical damage on the glass."""	lcd	Display	Microsoft Surface Pro 7 12		-1	1.0
333	BestBuy	3/10/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""thank, good buy."""	buy	Price	Microsoft Surface Pro 7 Plus 12		1	1.0
334	BestBuy	2/24/2024 0:00	Positive	US	Windows 11 (Preinstall)	thank you well buy.	buy	Price	Microsoft Surface Pro 9 13		1	1.0
335	BestBuy	3/10/2024 0:00	Neutral	US	Windows 11 (Preinstall)	again have to return to store for power charger for the Slim Pen 2.	pen	Hardware	Microsoft Surface Pro 9 13		0	1.0
336	BestBuy	3/10/2024 0:00	Neutral	US	Windows 11 (Preinstall)	again have to return to store for power charger for the Slim Pen 2.	slim	Design	Microsoft Surface Pro 9 13		0	1.0
337	BestBuy	3/10/2024 0:00	Neutral	US	Windows 11 (Preinstall)	again have to return to store for power charger for the Slim Pen 2.	charge	Battery	Microsoft Surface Pro 9 13		0	1.0
338	BestBuy	3/10/2024 0:00	Neutral	US	Windows 11 (Preinstall)	again have to return to store for power charger for the Slim Pen 2.	power	Performance	Microsoft Surface Pro 9 13		0	1.0
339	BestBuy	3/10/2024 0:00	Neutral	US	Windows 11 (Preinstall)	again have to return to store for power charger for the Slim Pen 2.	store	Customer-Service	Microsoft Surface Pro 9 13		0	1.0
340	BestBuy	3/25/2024 0:00	Neutral	US	Windows 11 (Preinstall)	the pen be worth get too.	worth	Price	Microsoft Surface Pro 9 13		0	1.0
341	BestBuy	3/25/2024 0:00	Neutral	US	Windows 11 (Preinstall)	the pen be worth get too.	pen	Hardware	Microsoft Surface Pro 9 13		0	1.0
342	BestBuy	3/4/2024 0:00	Neutral	US	Windows 11 (Preinstall)	have to get use to touch button in different location.	location	Connectivity	Microsoft Surface Pro 9 13		0	1.0
343	BestBuy	3/4/2024 0:00	Neutral	US	Windows 11 (Preinstall)	have to get use to touch button in different location.	button	Keyboard	Microsoft Surface Pro 9 13		0	1.0
344	BestBuy	3/4/2024 0:00	Neutral	US	Windows 11 (Preinstall)	have to get use to touch button in different location.	touch	Display	Microsoft Surface Pro 9 13		0	1.0
345	BestBuy	2/27/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""the battery be still new, so work as expect."""	battery	Battery	Microsoft Surface Pro 9 13		0	1.0
346	BestBuy	2/19/2024 0:00	Positive	US	Windows 11 (Preinstall)	we have a 4 year old and the screen quality be great for pic or movie watch.	quality	Design	Microsoft Surface Pro 9 13		1	1.0
347	BestBuy	2/19/2024 0:00	Positive	US	Windows 11 (Preinstall)	we have a 4 year old and the screen quality be great for pic or movie watch.	screen	Display	Microsoft Surface Pro 9 13		1	1.0
348	Amazon	3/21/2024 0:00	Positive	US	Windows 11 (Preinstall)	I have no regret about this purchase.	purchase	Price	Microsoft Surface Pro 8 13		1	1.0
349	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	"""also, my skepitcism about Windows 11 have be replace by admiration."""	window	Software	Microsoft Surface Pro 9 13		0	1.0
350	BestBuy	3/5/2024 0:00	Positive	US	Windows 11 (Preinstall)	Battery life be good.	battery	Battery	Microsoft Surface Pro 7 Plus 12		1	1.0
